EventName,Casino,Location,Offer,StartDate,EndDate,OfferType
Drift $15 Lucky Bucks,Lucky Dog Casino,"19330 N US HWY 101, Skokomish, WA 98584",$15 Lucky Bucks valid Fri 9/5 - Sun 9/7.,2025-09-05 00:00:00,2025-09-07 23:59:00,Free-Play
$35 Slot Play,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",$35 slot play,2025-09-05 06:00:00,2025-09-07 05:59:00,Free-Play
Military 2X Points,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002",2X points for military personnel with ID,2025-09-05 07:00:00,2025-09-05 23:00:00,Point-Based
Monthly Gift Giveaway,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002",Gift: Queen comforter,2025-09-05 10:00:00,2025-09-05 14:00:00,Giveaway
Club Lucky Drawings,Lucky Dog Casino,"19330 N US HWY 101, Skokomish, WA 98584",Cash hot seat drawings based on tier. Bonus cash drawing at 9pm.,2025-09-05 18:00:00,2025-09-05 21:00:00,Giveaway
"$50,000 Roll for the Royal Drawings",Wildhorse Casino,"46510 Wildhorse Blvd. Pendleton, OR 97801",Roll dice to reveal a poker hand. Drawings every Friday & Saturday. 75 points per entry. 10x entry multiplier on Thursdays.,2025-09-05 18:00:00,2025-09-27 22:00:00,Point-Based
$20 Free Play,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",$20 Free Play,2025-09-06 10:00:00,2025-09-12 23:59:00,Free-Play
"$35,000 VIP Slot Tournament",ilani,"1 Cowlitz Way, Ridgefield, WA 98642","Grand prize $10,000 cash; 2nd $5,000 cash; 3rd $3,000 cash; 4th-6th $2,000 cash; 7th-18th $1,000 cash",2025-09-06 12:00:00,2025-09-06 18:00:00,Giveaway
Midway Money,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002","Win up to $15,000 in cash! 5 winners every hour",2025-09-06 15:00:00,2025-09-06 21:00:00,Giveaway
Princess® Win a Cruise Giveaway,Lucky Dog Casino,"19330 N US HWY 101, Skokomish, WA 98584","Win Lucky Bucks or a cruise & cash. Winners selected at 7pm, 7:30pm, 8pm, 8:30pm, cruise + $500 cash at 9pm.",2025-09-06 19:00:00,2025-09-06 21:00:00,Giveaway
Reels Mile of Fortune Grand Prize Drawings,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513","Win $25,000 Grand Prize Cash",2025-09-06 21:00:00,2025-09-06 21:00:00,Giveaway
Football Pick ’Em,Emerald Queen Casino,"1820 East 29th Street, Tacoma, WA 98404","Make weekly picks for up to $2,000 cash and $10 free play.",2025-09-07 00:00:00,2025-09-07 23:59:00,Giveaway
Extended Summer Sweepstakes Multiplier,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Entry multiplier,2025-09-07 00:00:00,2025-09-07 23:59:00,Giveaway
Ringer Entertainment Stay and Play - Complimentary Night Stay,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Complimentary night stay with reservation required,2025-09-07 00:00:00,2025-09-11 23:59:00,Hospitality-Rewards
$125 Weekly Free Play or Dining Credit - Week 2,Emerald Queen Casino,"1820 East 29th Street, Tacoma, WA 98404",$25 free play or dining credit.,2025-09-07 00:00:00,2025-09-13 23:59:00,Free-Play
Complimentary Hotel Stay - Week 2,Emerald Queen Casino,"1820 East 29th Street, Tacoma, WA 98404",1 complimentary night at EQC Fife.,2025-09-07 00:00:00,2025-09-13 23:59:00,Hospitality-Rewards
$35 Slot Play,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",$35 slot play,2025-09-07 06:00:00,2025-09-09 05:59:00,Free-Play
An Epic Evening Gift Giveaway - Week 1,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579","Free gift with voucher; Versace sunglasses, Coach purse, chance at $18,000 cash grand prize",2025-09-07 10:00:00,2025-09-07 20:00:00,Giveaway
Free Gifts - Bakeware Sets,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Bundt Pan, Muffin Pan, Loaf Pan Set, Pie Pan Set; limit one per person, per week; while supplies last",2025-09-07 10:00:00,2025-09-07 20:00:00,Giveaway
Your Lucky Numbers Bingo,Wildhorse Casino,"46510 Wildhorse Blvd. Pendleton, OR 97801","Win up to $1,100 per game. Doors open 11am, Warm Ups 2pm, Main Session 2:30pm.",2025-09-07 11:00:00,2025-09-07 23:59:00,Special-Events
Tailgate Gifting,Lucky Dog Casino,"19330 N US HWY 101, Skokomish, WA 98584",Free gift: Football shaped serving board.,2025-09-07 12:00:00,2025-09-07 18:00:00,Giveaway
$9000 Friendly Hot Seats,Wildhorse Casino,"46510 Wildhorse Blvd. Pendleton, OR 97801",Win $200 freeplay and $50 freeplay for a friend. Drawings every 15 minutes 1–3pm. Limit one $200 freeplay win per player per day.,2025-09-07 13:00:00,2025-09-07 15:00:00,Giveaway
Gift Giveaway - Wireless Phone Charger Alarm Clock Radio / USB Humidifier / LED Dome Lamp & Speaker,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504","Visit weekly to collect the entire set - no point earning needed. Limit one gift per week, while supplies last.",2025-09-07 13:00:00,2025-09-07 21:00:00,Giveaway
$9000 Friendly Hot Seats,Wildhorse Casino,"46510 Wildhorse Blvd. Pendleton, OR 97801",Win $200 freeplay and $50 freeplay for a friend. Drawings every 15 minutes 1–3pm. Limit one $200 freeplay win per player per day.,2025-09-07 13:00:00,2025-09-28 15:00:00,Giveaway
Harvest Full Moon Bonus,Legends Casino,"580 Fort Road, Toppenish, WA",Earn 10X more points,2025-09-07 18:00:00,2025-09-07 23:59:00,Point-Based
Complimentary Night Stay,ilani,"1 Cowlitz Way, Ridgefield, WA 98642","One complimentary night stay (reservation required, subject to availability)",2025-09-08 00:00:00,2025-09-11 23:59:00,Hospitality-Rewards
Drift $15 Lucky Bucks,Lucky Dog Casino,"19330 N US HWY 101, Skokomish, WA 98584",$15 Lucky Bucks valid Mon 9/8 - Thu 9/11.,2025-09-08 00:00:00,2025-09-11 23:59:00,Free-Play
$15 Off Food Voucher,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347",$15 off food once per week,2025-09-08 00:00:00,2025-09-11 23:59:00,Hospitality-Rewards
$10 in Free Play Credits,Quil Ceda Creek Casino,"6221 31st Ave NE, Tulalip, WA 98271",$10 in free play credits,2025-09-08 00:00:00,2025-09-14 23:59:00,Free-Play
Free Topgolf Swing Suite,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","1 hour of free Topgolf Swing Suite playtime for you and up to 3 guests, valid once per week",2025-09-08 00:00:00,2025-09-14 23:59:00,Offer
Your Choice Promotion,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347",Choose $25 free play or 2x slot points once per week,2025-09-08 00:00:00,2025-09-14 23:59:00,Free-Play
$10 in Free Play Credits,Tulalip Casino,"10200 Quil Ceda Blvd, Tulalip, WA 98271",$10 in free play credits,2025-09-08 00:00:00,2025-09-14 23:59:00,Free-Play
Bonus Entry Mondays,Emerald Queen Casino,"1820 East 29th Street, Tacoma, WA 98404",Receive 500 bonus drawing entries.,2025-09-08 08:00:00,2025-09-08 14:00:00,Giveaway
Free Gifts - Bakeware Sets,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Bundt Pan, Muffin Pan, Loaf Pan Set, Pie Pan Set; limit one per person, per week; while supplies last",2025-09-08 10:00:00,2025-09-08 20:00:00,Giveaway
Weekly $20 Xtra Rewards Free Play,Legends Casino,"580 Fort Road, Toppenish, WA",$20 Xtra Rewards Free Play added to your account,2025-09-08 10:00:00,2025-09-14 23:59:00,Free-Play
Touchdown Multiplier,Emerald Queen Casino,"1820 East 29th Street, Tacoma, WA 98404",Earn up to 24x points based on Seahawks touchdowns.,2025-09-08 11:00:00,2025-09-08 20:00:00,Point-Based
Early Bird Multiplier,Emerald Queen Casino,"1820 East 29th Street, Tacoma, WA 98404",Earn up to 12x rewards points.,2025-09-09 06:00:00,2025-09-09 12:00:00,Point-Based
Double Rewards Dollars,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",2x status points,2025-09-09 06:00:00,2025-09-10 05:59:00,Point-Based
$20 Free Play Offer,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002",$20 free play valid one time,2025-09-09 07:00:00,2025-09-15 23:59:00,Free-Play
Club Lucky Multiplier,Lucky Dog Casino,"19330 N US HWY 101, Skokomish, WA 98584",2x-4x lucky points multiplier based on Club Lucky level.,2025-09-09 10:00:00,2025-09-09 18:00:00,Point-Based
An Epic Evening Gift Giveaway - Week 1,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579","Free gift with voucher; Versace sunglasses, Coach purse, chance at $18,000 cash grand prize",2025-09-09 10:00:00,2025-09-09 20:00:00,Giveaway
Tasty Tuesdays - Free Ice Cream,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347",One free ice cream cup per person per week,2025-09-09 10:00:00,2025-09-09 20:00:00,Offer
Gift Giveaway - Hand Mixer,Legends Casino,"580 Fort Road, Toppenish, WA",60 points for Hand Mixer • One per person • While supplies last,2025-09-09 10:00:00,2025-09-09 23:59:00,Giveaway
Hell’s Kitchen Gift Giveaway,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Fiery stoneware set,2025-09-09 12:00:00,2025-09-09 20:00:00,Giveaway
Fortune Drawings,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513","Win up to $5,000 every 30 minutes",2025-09-09 18:00:00,2025-09-09 21:00:00,Offer
Golden Scales Kiosk Game,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Win food & free play prizes; play up to 8 times each day by earning 1,500 points",2025-09-10 00:00:00,2025-09-10 23:59:00,Free-Play
Weekly Loyalty Offer,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513",$20 Free Play,2025-09-10 00:00:00,2025-09-16 23:59:00,Free-Play
Double Rewards Dollars,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",2x status points,2025-09-10 06:00:00,2025-09-11 05:59:00,Point-Based
Wearable Wednesdays,Lucky Dog Casino,"19330 N US HWY 101, Skokomish, WA 98584","Earn 50 base points. Get a free wearable (Big Football, Washington Football, Lake Cushman, Hood Canal T-shirt).",2025-09-10 10:00:00,2025-09-10 20:00:00,Giveaway
$40 Free Play Wednesdays,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",$40 Free Play if you play every Wednesday in September,2025-09-10 10:00:00,2025-09-10 23:59:00,Free-Play
Hell’s Kitchen Gift Giveaway,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Fiery stoneware set,2025-09-10 12:00:00,2025-09-10 20:00:00,Giveaway
Cozy Up With Rewards - Queen Ultra-Soft Sheet Set,Wildhorse Casino,"46510 Wildhorse Blvd. Pendleton, OR 97801",Earn 900 slot points for a Queen Ultra-Soft Sheet Set.,2025-09-10 12:00:00,2025-09-10 21:00:00,Point-Based
Poppin’ Poro Payouts,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002","Win up to $4,500 in cash! 6 winners every hour",2025-09-10 17:00:00,2025-09-10 21:00:00,Giveaway
Early Bird Multiplier,Emerald Queen Casino,"1820 East 29th Street, Tacoma, WA 98404",Earn up to 12x rewards points.,2025-09-11 06:00:00,2025-09-11 12:00:00,Point-Based
$35 Slot Play,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",$35 slot play,2025-09-11 06:00:00,2025-09-13 05:59:00,Free-Play
Monthly Gift Giveaway,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002",Gift: 4-piece queen sheet set,2025-09-11 12:00:00,2025-09-11 21:00:00,Giveaway
Gift Giveaway - Wireless Phone Charger Alarm Clock Radio / USB Humidifier / LED Dome Lamp & Speaker,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504","Visit weekly to collect the entire set - no point earning needed. Limit one gift per week, while supplies last.",2025-09-11 13:00:00,2025-09-11 21:00:00,Giveaway
Treasure Hunter,Lucky Dog Casino,"19330 N US HWY 101, Skokomish, WA 98584","Free treasure hunt game. Win up to $2,000 in Lucky Bucks. Bonus game with 101 points.",2025-09-11 14:00:00,2025-09-11 20:00:00,Free-Play
Thursday Night Lights Drawings,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Win up to $4,000 cash plus pro team helmets & jerseys",2025-09-11 18:00:00,2025-09-11 19:00:00,Giveaway
Let's Play Thursdays,Legends Casino,"580 Fort Road, Toppenish, WA","One winner every hour — 6pm: $4,000 • 7pm: $6,000 • 8pm: $8,000 • 9pm: $10,000",2025-09-11 18:00:00,2025-09-11 21:00:00,Offer
Fortune Drawings,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513","Win up to $5,000 every 30 minutes",2025-09-11 18:00:00,2025-09-11 21:00:00,Offer
Fall Slot Tournament,ilani,"1 Cowlitz Way, Ridgefield, WA 98642","$3,500 in slot play every hour",2025-09-11 19:00:00,2025-09-11 22:00:00,Free-Play
Extended Summer Sweepstakes Multiplier,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Entry multiplier,2025-09-12 00:00:00,2025-09-12 23:59:00,Giveaway
Prime Rib Special,Lucky Dog Casino,"19330 N US HWY 101, Skokomish, WA 98584",$5 off prime rib with Club Lucky card.,2025-09-12 00:00:00,2025-09-13 23:59:00,Special-Events
Drift $15 Lucky Bucks,Lucky Dog Casino,"19330 N US HWY 101, Skokomish, WA 98584",$15 Lucky Bucks valid Fri 9/12 - Sun 9/14.,2025-09-12 00:00:00,2025-09-14 23:59:00,Free-Play
Monthly Gift Giveaway,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002",Gift: Flannel fleece throw blanket,2025-09-12 10:00:00,2025-09-12 14:00:00,Giveaway
Ferris Wheel Free Play,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002","Win your share of $50,000 in free play! 10 winners every half hour",2025-09-12 17:00:00,2025-09-12 21:30:00,Free-Play
Club Lucky Drawings,Lucky Dog Casino,"19330 N US HWY 101, Skokomish, WA 98584",Cash hot seat drawings based on tier. Bonus cash drawing at 9pm.,2025-09-12 18:00:00,2025-09-12 21:00:00,Giveaway
VIP Exclusive Invite - Dude Kick Back in Style Fitting,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",Exclusive fitting event (invite only),2025-09-13 00:00:00,2025-09-13 23:59:00,Special-Events
Ruby Exclusive Kiosk Game,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347",Exclusive kiosk game for Ruby members to win food or free play,2025-09-13 00:00:00,2025-09-13 23:59:00,Free-Play
Daytime Bonus Slot Play,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",$40 slot play,2025-09-13 06:00:00,2025-09-13 18:00:00,Free-Play
$20 Free Play,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",$20 Free Play,2025-09-13 10:00:00,2025-09-19 23:59:00,Free-Play
Princess® Win a Cruise Giveaway,Lucky Dog Casino,"19330 N US HWY 101, Skokomish, WA 98584","Win Lucky Bucks or a cruise & cash. Winners selected at 7pm, 7:30pm, 8pm, 8:30pm, cruise + $500 cash at 9pm.",2025-09-13 19:00:00,2025-09-13 21:00:00,Giveaway
Reels Mile of Fortune Grand Prize Drawings,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513","Win $25,000 Grand Prize Cash",2025-09-13 21:00:00,2025-09-13 21:00:00,Giveaway
Football Pick ’Em,Emerald Queen Casino,"1820 East 29th Street, Tacoma, WA 98404","Make weekly picks for up to $2,000 cash and $10 free play.",2025-09-14 00:00:00,2025-09-14 23:59:00,Giveaway
Extended Summer Sweepstakes Multiplier,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Entry multiplier,2025-09-14 00:00:00,2025-09-14 23:59:00,Giveaway
Ringer Entertainment Stay and Play - Complimentary Night Stay,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Complimentary night stay with reservation required,2025-09-14 00:00:00,2025-09-18 23:59:00,Hospitality-Rewards
$125 Weekly Free Play or Dining Credit - Week 3,Emerald Queen Casino,"1820 East 29th Street, Tacoma, WA 98404",$25 free play or dining credit.,2025-09-14 00:00:00,2025-09-20 23:59:00,Free-Play
Complimentary Hotel Stay - Week 3,Emerald Queen Casino,"1820 East 29th Street, Tacoma, WA 98404",1 complimentary night at EQC Fife.,2025-09-14 00:00:00,2025-09-20 23:59:00,Hospitality-Rewards
$35 Slot Play,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",$35 slot play,2025-09-14 06:00:00,2025-09-16 05:59:00,Free-Play
Collect Your Free Play,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002",Guaranteed Free Play for all participants,2025-09-14 10:00:00,2025-09-14 18:00:00,Free-Play
An Epic Evening Gift Giveaway - Week 2,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579","Free gift with voucher; Versace sunglasses, Coach purse, chance at $18,000 cash grand prize",2025-09-14 10:00:00,2025-09-14 20:00:00,Giveaway
Free Gifts - Bakeware Sets,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Bundt Pan, Muffin Pan, Loaf Pan Set, Pie Pan Set; limit one per person, per week; while supplies last",2025-09-14 10:00:00,2025-09-14 20:00:00,Giveaway
Tailgate Gifting,Lucky Dog Casino,"19330 N US HWY 101, Skokomish, WA 98584",Free gift: 20 oz. mini football themed warmer.,2025-09-14 12:00:00,2025-09-14 18:00:00,Giveaway
$9000 Friendly Hot Seats,Wildhorse Casino,"46510 Wildhorse Blvd. Pendleton, OR 97801",Win $200 freeplay and $50 freeplay for a friend. Drawings every 15 minutes 1–3pm. Limit one $200 freeplay win per player per day.,2025-09-14 13:00:00,2025-09-14 15:00:00,Giveaway
Gift Giveaway - Wireless Phone Charger Alarm Clock Radio / USB Humidifier / LED Dome Lamp & Speaker,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504","Visit weekly to collect the entire set - no point earning needed. Limit one gift per week, while supplies last.",2025-09-14 13:00:00,2025-09-14 21:00:00,Giveaway
Complimentary Night Stay,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Complimentary night stay with reservation required,2025-09-15 00:00:00,2025-09-18 23:59:00,Hospitality-Rewards
Drift $15 Lucky Bucks,Lucky Dog Casino,"19330 N US HWY 101, Skokomish, WA 98584",$15 Lucky Bucks valid Mon 9/15 - Thu 9/18.,2025-09-15 00:00:00,2025-09-18 23:59:00,Free-Play
$15 Off Food Voucher,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347",$15 off food once per week,2025-09-15 00:00:00,2025-09-18 23:59:00,Hospitality-Rewards
$10 in Free Play Credits,Quil Ceda Creek Casino,"6221 31st Ave NE, Tulalip, WA 98271",$10 in free play credits,2025-09-15 00:00:00,2025-09-21 23:59:00,Free-Play
Free Topgolf Swing Suite,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","1 hour of free Topgolf Swing Suite playtime for you and up to 3 guests, valid once per week",2025-09-15 00:00:00,2025-09-21 23:59:00,Offer
Your Choice Promotion,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347",Choose $25 free play or 2x slot points once per week,2025-09-15 00:00:00,2025-09-21 23:59:00,Free-Play
$10 in Free Play Credits,Tulalip Casino,"10200 Quil Ceda Blvd, Tulalip, WA 98271",$10 in free play credits,2025-09-15 00:00:00,2025-09-21 23:59:00,Free-Play
Bonus Entry Mondays,Emerald Queen Casino,"1820 East 29th Street, Tacoma, WA 98404",Receive 500 bonus drawing entries.,2025-09-15 08:00:00,2025-09-15 14:00:00,Giveaway
Level Up Multiplier,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002",Earn up to 5X points,2025-09-15 10:00:00,2025-09-15 20:00:00,Point-Based
Free Gifts - Bakeware Sets,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Bundt Pan, Muffin Pan, Loaf Pan Set, Pie Pan Set; limit one per person, per week; while supplies last",2025-09-15 10:00:00,2025-09-15 20:00:00,Giveaway
Weekly $20 Xtra Rewards Free Play,Legends Casino,"580 Fort Road, Toppenish, WA",$20 Xtra Rewards Free Play added to your account,2025-09-15 10:00:00,2025-09-21 23:59:00,Free-Play
Touchdown Multiplier,Emerald Queen Casino,"1820 East 29th Street, Tacoma, WA 98404",Earn up to 24x points based on Seahawks touchdowns.,2025-09-15 11:00:00,2025-09-15 20:00:00,Point-Based
Dining & Shopping Rewards,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",$15 dining & shopping rewards,2025-09-16 00:00:00,2025-09-30 23:59:00,Hospitality-Rewards
Early Bird Multiplier,Emerald Queen Casino,"1820 East 29th Street, Tacoma, WA 98404",Earn up to 12x rewards points.,2025-09-16 06:00:00,2025-09-16 12:00:00,Point-Based
Double Rewards Dollars,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",2x status points,2025-09-16 06:00:00,2025-09-17 05:59:00,Point-Based
Club Lucky Multiplier,Lucky Dog Casino,"19330 N US HWY 101, Skokomish, WA 98584",2x-4x lucky points multiplier based on Club Lucky level.,2025-09-16 10:00:00,2025-09-16 18:00:00,Point-Based
An Epic Evening Gift Giveaway - Week 2,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579","Free gift with voucher; Versace sunglasses, Coach purse, chance at $18,000 cash grand prize",2025-09-16 10:00:00,2025-09-16 20:00:00,Giveaway
Tasty Tuesdays - Free Ice Cream,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347",One free ice cream cup per person per week,2025-09-16 10:00:00,2025-09-16 20:00:00,Offer
2X Tuesdays,Legends Casino,"580 Fort Road, Toppenish, WA",Earn 2X points,2025-09-16 10:00:00,2025-09-16 23:59:00,Point-Based
Hell’s Kitchen Gift Giveaway,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Fiery stoneware set,2025-09-16 12:00:00,2025-09-16 20:00:00,Giveaway
Fortune Drawings,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513","Win up to $5,000 every 30 minutes",2025-09-16 18:00:00,2025-09-16 21:00:00,Offer
Golden Scales Kiosk Game,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Win food & free play prizes; play up to 8 times each day by earning 1,500 points",2025-09-17 00:00:00,2025-09-17 23:59:00,Free-Play
Weekly Loyalty Offer,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513",$20 Free Play,2025-09-17 00:00:00,2025-09-23 23:59:00,Free-Play
Double Rewards Dollars,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",2x status points,2025-09-17 06:00:00,2025-09-18 05:59:00,Point-Based
Wearable Wednesdays,Lucky Dog Casino,"19330 N US HWY 101, Skokomish, WA 98584","Earn 50 base points. Get a free wearable (Big Football, Washington Football, Lake Cushman, Hood Canal T-shirt).",2025-09-17 10:00:00,2025-09-17 20:00:00,Giveaway
$40 Free Play Wednesdays,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",$40 Free Play if you play every Wednesday in September,2025-09-17 10:00:00,2025-09-17 23:59:00,Free-Play
Hell’s Kitchen Gift Giveaway,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Fiery stoneware set,2025-09-17 12:00:00,2025-09-17 20:00:00,Giveaway
Cozy Up With Rewards - Queen Three-Piece Quilted Coverlet & Shams,Wildhorse Casino,"46510 Wildhorse Blvd. Pendleton, OR 97801","Earn 1,500 slot points for a Queen Three-Piece Quilted Coverlet & Shams.",2025-09-17 12:00:00,2025-09-17 21:00:00,Point-Based
Poppin’ Poro Payouts,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002","Win up to $4,500 in cash! 6 winners every hour",2025-09-17 17:00:00,2025-09-17 21:00:00,Giveaway
Early Bird Multiplier,Emerald Queen Casino,"1820 East 29th Street, Tacoma, WA 98404",Earn up to 12x rewards points.,2025-09-18 06:00:00,2025-09-18 12:00:00,Point-Based
$35 Slot Play,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",$35 slot play,2025-09-18 06:00:00,2025-09-19 05:59:00,Free-Play
Monthly Gift Giveaway,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002",Gift: 2-pack decorative pillows,2025-09-18 12:00:00,2025-09-18 21:00:00,Giveaway
Gift Giveaway - Wireless Phone Charger Alarm Clock Radio / USB Humidifier / LED Dome Lamp & Speaker,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504","Visit weekly to collect the entire set - no point earning needed. Limit one gift per week, while supplies last.",2025-09-18 13:00:00,2025-09-18 21:00:00,Giveaway
Treasure Hunter,Lucky Dog Casino,"19330 N US HWY 101, Skokomish, WA 98584","Free treasure hunt game. Win up to $2,000 in Lucky Bucks. Bonus game with 101 points.",2025-09-18 14:00:00,2025-09-18 20:00:00,Free-Play
Thursday Night Lights Drawings,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Win up to $4,000 cash plus pro team helmets & jerseys",2025-09-18 18:00:00,2025-09-18 19:00:00,Giveaway
Let's Play Thursdays,Legends Casino,"580 Fort Road, Toppenish, WA","One winner every hour — 6pm: $4,000 • 7pm: $6,000 • 8pm: $8,000 • 9pm: $10,000",2025-09-18 18:00:00,2025-09-18 21:00:00,Offer
Fortune Drawings,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513","Win up to $5,000 every 30 minutes",2025-09-18 18:00:00,2025-09-18 21:00:00,Offer
Fall Slot Tournament,ilani,"1 Cowlitz Way, Ridgefield, WA 98642","$3,500 in slot play every hour",2025-09-18 19:00:00,2025-09-18 22:00:00,Free-Play
Extended Summer Sweepstakes Multiplier,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Entry multiplier,2025-09-19 00:00:00,2025-09-19 23:59:00,Giveaway
Golden Fruit,ilani,"1 Cowlitz Way, Ridgefield, WA 98642","Free pick for up to $1,000 promo play (min $20)",2025-09-19 00:00:00,2025-09-19 23:59:00,Free-Play
VIP Offer - Free Entry and Food Credits,ilani,"1 Cowlitz Way, Ridgefield, WA 98642","Free entry for two to one session of Wine & Food Festival, $30 food credits, VIP drink pass available for $10",2025-09-19 00:00:00,2025-09-19 23:59:00,Hospitality-Rewards
Prime Rib Special,Lucky Dog Casino,"19330 N US HWY 101, Skokomish, WA 98584",$5 off prime rib with Club Lucky card.,2025-09-19 00:00:00,2025-09-20 23:59:00,Special-Events
Drift $15 Lucky Bucks,Lucky Dog Casino,"19330 N US HWY 101, Skokomish, WA 98584",$15 Lucky Bucks valid Fri 9/19 - Sun 9/21.,2025-09-19 00:00:00,2025-09-21 23:59:00,Free-Play
$20 Free Play Offer,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002",$20 free play valid one time,2025-09-19 07:00:00,2025-09-23 23:59:00,Free-Play
Monthly Gift Giveaway,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002",Gift: Queen comforter,2025-09-19 10:00:00,2025-09-19 14:00:00,Giveaway
Closet Clean Out Gift Giveaway,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513","Earn 25,000 points to receive a Foot Spa",2025-09-19 12:00:00,2025-09-19 20:00:00,Giveaway
Club Lucky Drawings,Lucky Dog Casino,"19330 N US HWY 101, Skokomish, WA 98584",Cash hot seat drawings based on tier. Bonus cash drawing at 9pm.,2025-09-19 18:00:00,2025-09-19 21:00:00,Giveaway
